 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
      0.418   9.608E-05  1152.94598  -1537.2613  2305.89196
       0.42   1.595E-05   191.34023  -255.12031   382.68047
      0.422   8.225E-05   987.05471   -1316.073  1974.10943
      0.424   2.928E-04  3513.16105   -4684.215  7026.32211
      0.426   6.384E-04  7660.82938  -10214.439  15321.6588
      0.428      0.0011  13254.4122   -17672.55  26508.8244
       0.43     0.00167  20060.3004  -26747.067   40120.601
      0.432     0.00232   27798.061   -37064.08   55596.122
      0.434     0.00301   36153.345   -48204.46    72306.69
      0.436     0.00373   44791.969   -59722.63   89583.938
      0.438     0.00445   53374.556   -71166.07  106749.111
       0.44     0.00513   61571.097    -82094.8  123142.194
      0.442     0.00576   69065.344   -92087.13  138130.688
      0.444     0.00629   75539.878  -100719.84  151079.755
      0.446     0.00673   80717.863  -107623.82  161435.726
      0.448     0.00703   84383.374  -112511.17  168766.748
       0.45      0.0072   86389.337  -115185.78  172778.673
      0.452     0.00722   86662.374  -115549.83  173324.747
      0.454      0.0071   85204.416  -113605.89  170408.833
      0.456     0.00684   82091.073  -109454.76  164182.147
      0.458     0.00646   77466.893  -103289.19  154933.786
       0.46     0.00596   71537.791   -95383.72  143075.582
      0.462     0.00538   64555.465   -86073.95  129110.931
      0.464     0.00473   56789.221   -75718.96  113578.442
      0.466     0.00404    48530.71   -64707.61    97061.42
      0.468     0.00334   40086.551   -53448.73   80173.102
       0.47     0.00265    31764.96   -42353.28   63529.919
      0.472     0.00199  23862.5951   -31816.79    47725.19
      0.474     0.00139  16652.1622  -22202.883   33304.324
      0.476   8.643E-04  10371.2894  -13828.386  20742.5789
      0.478   4.344E-04  5213.13168   -6950.842  10426.2634
